Date,Details,Due
"Fri Aug 25, 2023",Calendar Event Registration Closes,4pm
"Mon Aug 28, 2023",Calendar Event Course Payment Deadline,4pm
"Wed Aug 30, 2023",Calendar Event Office Hour,7pm to 8pm
"Fri Sep 1, 2023",Assignment Team Formation Survey,due by 11:59pm
"Tue Sep 5, 2023",Calendar Event Team project posted,12am
"Tue Sep 5, 2023",Calendar Event Teams formed,12am
"Wed Sep 6, 2023",Calendar Event Office Hour,7pm to 8pm
"Sun Sep 10, 2023",Quiz Onboarding Exam,due by 11:59pm
"Wed Sep 13, 2023",Calendar Event Office Hour,7pm to 8pm
"Sun Sep 17, 2023",Quiz Exam 1,due by 11:59pm
"Wed Sep 20, 2023",Calendar Event Office Hour,7pm to 8pm
"Wed Sep 27, 2023",Calendar Event Office Hour,7pm to 8pm
"Sun Oct 1, 2023",Assignment Project Phase 1,due by 11:59pm
"Wed Oct 4, 2023",Calendar Event Office Hour,7pm to 8pm
"Mon Oct 9, 2023",Calendar Event Fall Break Holiday,12am
"Tue Oct 10, 2023",Calendar Event Fall Break Holiday,12am
"Wed Oct 11, 2023",Calendar Event Office Hour,7pm to 8pm
"Wed Oct 11, 2023",Assignment Phase 1 Team Evaluation,due by 11:59pm
"Sun Oct 15, 2023",Quiz Exam 2,due by 11:59pm
"Wed Oct 18, 2023",Calendar Event Office Hour,7pm to 8pm
"Wed Oct 25, 2023",Calendar Event Office Hour,7pm to 8pm
"Sat Oct 28, 2023",Calendar Event Course Withdrawal Deadline,11:59pm
"Sun Oct 29, 2023",Assignment Project Phase 2,due by 11:59pm
"Wed Nov 1, 2023",Calendar Event Office Hour,7pm to 8pm
"Wed Nov 8, 2023",Calendar Event Office Hour,7pm to 8pm
"Wed Nov 8, 2023",Assignment Phase 2 Team Evaluation,due by 11:59pm
"Sun Nov 12, 2023",Quiz Exam 3,due by 11:59pm
"Wed Nov 15, 2023",Calendar Event Office Hour,7pm to 8pm
"Wed Nov 22, 2023",Calendar Event Office Hour,7pm to 8pm
"Thu Nov 23, 2023",Calendar Event Thanksgiving Holiday,12am
"Fri Nov 24, 2023",Calendar Event Thanksgiving Holiday,12am
"Sun Nov 26, 2023",Assignment Project Phase 3,due by 11:59pm
"Mon Nov 27, 2023",Calendar Event Team Project Demos,12am
"Tue Nov 28, 2023",Calendar Event Team Project Demos,12am
"Wed Nov 29, 2023",Calendar Event Team Project Demos,12am
"Thu Nov 30, 2023",Calendar Event Team Project Demos,12am
"Fri Dec 1, 2023",Calendar Event Team Project Demos,12am
"Sat Dec 2, 2023",Calendar Event Team Project Demos,12am
"Sun Dec 3, 2023",Calendar Event Team Project Demos,12am
"Wed Dec 6, 2023",Calendar Event Office Hour,7pm to 8pm
"Wed Dec 6, 2023",Assignment Phase 3 Team Evaluation,due by 11:59pm
"Sun Dec 10, 2023",Quiz Exam 4,due by 11:59pm
"Sun Dec 10, 2023",Assignment Team Evaluation Individual Score,due by 11:59pm
